Add-PagefindMeta.ps1 — LIVE RUN — 2026-05-09 17:56:27
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\employment\24-redundancy-and-associated-entitlements.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\employment\25-transition-to-retirement.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\biomedical-engineers\hours-of-work.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\hours-of-work\40-hours-of-work.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\hours-of-work\41-accrued-days-off.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\hours-of-work\42-meal-breaks.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\hours-of-work\43-tea-breaks.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\hours-of-work\44-rosters.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\hours-of-work\45-rates-for-saturdays-sundays.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\hours-of-work\46-overtime.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\hours-of-work\47-recall.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\hours-of-work\48-rest-period-after-overtime-recall-ten-hour-break.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\hours-of-work\49-daylight-savings.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\biomedical-engineers\index.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\biomedical-engineers\leave.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\leave\50-public-holidays.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\leave\51-annual-leave.md
